0,0,0,0,0,0,0
0.01,0,2.23847e-15,-4.41005e-11,0,8.46744e-13,-8.82011e-09
0.02,0,2.99639e-14,-1.76402e-10,0,6.05812e-12,-1.76402e-08
0.03,0,1.61841e-13,-3.96905e-10,0,2.20605e-11,-2.64603e-08
0.04,0,5.38364e-13,-7.05608e-10,0,5.46029e-11,-3.52804e-08
0.05,0,1.31287e-12,-1.10251e-09,0,1.04808e-10,-4.41004e-08
0.06,0,2.75597e-12,-1.58762e-09,0,1.79933e-10,-5.29203e-08
0.07,0,4.89344e-12,-2.16092e-09,0,2.49605e-10,-6.17401e-08
0.08,0,7.79053e-12,-2.82242e-09,0,3.31996e-10,-7.05599e-08
0.09,0,1.18079e-11,-3.57211e-09,0,4.73767e-10,-7.93791e-08
0.1,0,1.71977e-11,-4.41e-09,0,6.06561e-10,-8.81983e-08
0.11,0,2.39872e-11,-5.33608e-09,0,7.42271e-10,-9.70175e-08
0.12,0,3.19773e-11,-6.35035e-09,0,8.58235e-10,-1.05837e-07
0.13,0,4.12016e-11,-7.45281e-09,0,9.89128e-10,-1.14656e-07
0.14,0,5.18102e-11,-8.64347e-09,0,1.15808e-09,-1.23474e-07
0.15,0,6.48733e-11,-9.92229e-09,0,1.43411e-09,-1.32291e-07
0.16,0,8.0773e-11,-1.12893e-08,0,1.72543e-09,-1.41107e-07
0.17,0,9.96628e-11,-1.27444e-08,0,2.03212e-09,-1.49923e-07
0.18,0,1.21467e-10,-1.42877e-08,0,2.37717e-09,-1.58737e-07
0.19,0,1.46339e-10,-1.59192e-08,0,2.59989e-09,-1.67554e-07
0.2,0,1.73975e-10,-1.76388e-08,0,2.92993e-09,-1.76369e-07
0.21,0,2.04989e-10,-1.94466e-08,0,3.27544e-09,-1.85183e-07
0.22,0,2.39536e-10,-2.13425e-08,0,3.63645e-09,-1.93996e-07
0.23,0,2.77311e-10,-2.33265e-08,0,3.92113e-09,-2.02811e-07
0.24,0,3.1801e-10,-2.53987e-08,0,4.22133e-09,-2.11626e-07
0.25,0,3.61789e-10,-2.7559e-08,0,4.53704e-09,-2.20441e-07
0.26,0,4.08344e-10,-2.98075e-08,0,4.82237e-09,-2.29256e-07
0.27,0,4.59206e-10,-3.21441e-08,0,5.35273e-09,-2.38062e-07
0.28,0,5.1545e-10,-3.45687e-08,0,5.8527e-09,-2.46869e-07
0.29,0,5.75853e-10,-3.70815e-08,0,6.2305e-09,-2.55681e-07
0.3,0,6.41029e-10,-3.96823e-08,0,6.80739e-09,-2.64485e-07
0.31,0,7.12052e-10,-4.23712e-08,0,7.39979e-09,-2.73287e-07
0.32,0,7.89077e-10,-4.51481e-08,0,7.91592e-09,-2.82092e-07
0.33,0,8.7134e-10,-4.8013e-08,0,8.44757e-09,-2.90897e-07
0.34,0,9.5808e-10,-5.0966e-08,0,8.90297e-09,-2.99705e-07
0.35,0,1.04945e-09,-5.40071e-08,0,9.37389e-09,-3.08513e-07
0.36,0,1.14653e-09,-5.71362e-08,0,1.00438e-08,-3.17309e-07
0.37,0,1.24946e-09,-6.03533e-08,0,1.05457e-08,-3.26115e-07
0.38,0,1.35749e-09,-6.36585e-08,0,1.10632e-08,-3.3492e-07
0.39,0,1.47078e-09,-6.70517e-08,0,1.15962e-08,-3.43724e-07
0.4,0,1.58947e-09,-7.0533e-08,0,1.21447e-08,-3.52527e-07
0.41,0,1.71372e-09,-7.41022e-08,0,1.27087e-08,-3.61329e-07
0.42,0,1.84369e-09,-7.77595e-08,0,1.32882e-08,-3.7013e-07
0.43,0,1.97954e-09,-8.15048e-08,0,1.38832e-08,-3.7893e-07
0.44,0,2.12141e-09,-8.53381e-08,0,1.44937e-08,-3.87729e-07
0.45,0,2.26946e-09,-8.92594e-08,0,1.50281e-08,-3.96534e-07
0.46,0,2.42111e-09,-9.32689e-08,0,1.53947e-08,-4.0535e-07
0.47,0,2.57832e-09,-9.73663e-08,0,1.60517e-08,-4.14146e-07
0.48,0,2.74219e-09,-1.01552e-07,0,1.67242e-08,-4.2294e-07
0.49,0,2.91194e-09,-1.05825e-07,0,1.7229e-08,-4.31748e-07
0.5,0,3.08682e-09,-1.10187e-07,0,1.78409e-08,-4.40547e-07
0.51,0,3.2679e-09,-1.14636e-07,0,1.83767e-08,-4.49353e-07
0.52,0,3.45441e-09,-1.19174e-07,0,1.89281e-08,-4.58158e-07
0.53,0,3.64926e-09,-1.23799e-07,0,2.01357e-08,-4.66907e-07
0.54,0,3.85626e-09,-1.28512e-07,0,2.12673e-08,-4.75662e-07
0.55,0,4.07465e-09,-1.33312e-07,0,2.23227e-08,-4.84423e-07
0.56,0,4.30276e-09,-1.382e-07,0,2.33021e-08,-4.9319e-07
0.57,0,4.54166e-09,-1.43176e-07,0,2.44799e-08,-5.01939e-07
0.58,0,4.7915e-09,-1.48239e-07,0,2.54902e-08,-5.10703e-07
0.59,0,5.05426e-09,-1.5339e-07,0,2.70647e-08,-5.19413e-07
0.6,0,5.32919e-09,-1.58628e-07,0,2.79229e-08,-5.28191e-07
0.61,0,5.6146e-09,-1.63954e-07,0,2.91624e-08,-5.36931e-07
0.62,0,5.91066e-09,-1.69367e-07,0,3.00516e-08,-5.45706e-07
0.63,0,6.21568e-09,-1.74868e-07,0,3.09562e-08,-5.5448e-07
0.64,0,6.53349e-09,-1.80456e-07,0,3.26074e-08,-5.63175e-07
0.65,0,6.86423e-09,-1.86132e-07,0,3.35429e-08,-5.71946e-07
0.66,0,7.20622e-09,-1.91895e-07,0,3.48593e-08,-5.80675e-07
0.67,0,7.56329e-09,-1.97745e-07,0,3.65564e-08,-5.89361e-07
0.68,0,7.93375e-09,-2.03682e-07,0,3.75383e-08,-5.98126e-07
0.69,0,8.31411e-09,-2.09707e-07,0,3.85356e-08,-6.0689e-07
0.7,0,8.70451e-09,-2.1582e-07,0,3.95484e-08,-6.15652e-07
0.71,0,9.10512e-09,-2.2202e-07,0,4.05766e-08,-6.24412e-07
0.72,0,9.51792e-09,-2.28308e-07,0,4.19852e-08,-6.33126e-07
0.73,0,9.94488e-09,-2.34683e-07,0,4.34091e-08,-6.41838e-07
0.74,0,1.03843e-08,-2.41145e-07,0,4.44837e-08,-6.50593e-07
0.75,0,1.08346e-08,-2.47695e-07,0,4.55736e-08,-6.59345e-07
0.76,0,1.12959e-08,-2.54332e-07,0,4.6679e-08,-6.68096e-07
0.77,0,1.17664e-08,-2.61057e-07,0,4.76174e-08,-6.76868e-07
0.78,0,1.22483e-08,-2.67869e-07,0,4.87536e-08,-6.85614e-07
0.79,0,1.27415e-08,-2.74769e-07,0,4.99052e-08,-6.94359e-07
0.8,0,1.32464e-08,-2.81756e-07,0,5.10722e-08,-7.03102e-07
